Cargando snapshot...
Analizando libros...

============================================================================================================================================
TABLA FINAL DE CRUZAMIENTO
============================================================================================================================================
ID | Titulo | Autor | Content | Pages | PDF | Patol | Dup | Sup | Clasificacion
--------------------------------------------------------------------------------------------------------------------------------------------
   1 | S/D                                      | S/D                  |      N/A |   N/A |  NO |    NO |  NO |  N/A | REVISAR             
   2 | S/D                                      | S/D                  |      N/A |   N/A |  NO |    NO |  NO |  N/A | REVISAR             
   3 | S/D                                      | S/D                  |      N/A |   N/A |  NO |    NO |  NO |  N/A | REVISAR             
   4 | S/D                                      | S/D                  |      N/A |   N/A |  NO |    NO |  NO |  N/A | REVISAR             
   5 | Cien A┬▒os de Soledad                     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
   6 | Rayuela                                  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
   7 | Pedro P├ƒramo                             | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
   8 | La Casa de los Esp├Øritus                 | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
   9 | El T┬Ànel                                 | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  10 | Ficciones                                | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  11 | Como Agua para Chocolate                 | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  12 | El Amor en los Tiempos del C┬¥lera        | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  13 | La Sombra del Viento                     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  14 | Aura                                     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  15 | Los Detectives Salvajes                  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  16 | Cr┬¥nica de una Muerte Anunciada          | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  17 | Don Quijote de la Mancha                 | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  18 | El Principito                            | Antoine de Saint-Exu |      N/A |   N/A |  NO |    SI |  SI |   18 | REVISAR             
  19 | Orgullo y Prejuicio                      | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  20 | Crimen y Castigo                         | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  21 | Los Miserables                           | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  22 | La Odisea                                | Homero               |      N/A |   N/A |  NO |    SI |  SI |  144 | REVISAR             
  23 | Anna Karenina                            | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  24 | Hamlet                                   | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  25 | La Divina Comedia                        | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
