ID;Titulo;Autor;Estado actual;Grupo duplicado;Copia superior;PDF registrado;PDF existe;PDF size;Contenido confiable;Paginado;Problema detectado;DECISION DEFINITIVA;Justificacion;Accion futura
1;Sin datos en snapshot;Desconocido;Regular;;;NO;NO;;SI;NO;Ninguno;REVISAR_MANUALMENTE;"Sin datos suficientes en snapshot; requiere verificacion manual";Verificar existencia y contenido en produccion
2;Sin datos en snapshot;Desconocido;Regular;;;NO;NO;;SI;NO;Ninguno;REVISAR_MANUALMENTE;"Sin datos suficientes en snapshot; requiere verificacion manual";Verificar existencia y contenido en produccion
3;Sin datos en snapshot;Desconocido;Regular;;;NO;NO;;SI;NO;Ninguno;REVISAR_MANUALMENTE;"Sin datos suficientes en snapshot; requiere verificacion manual";Verificar existencia y contenido en produccion
4;Sin datos en snapshot;Desconocido;Regular;;;NO;NO;;SI;NO;Ninguno;REVISAR_MANUALMENTE;"Sin datos suficientes en snapshot; requiere verificacion manual";Verificar existencia y contenido en produccion
5;Cien Anos de Soledad;Gabriel Garcia Marquez;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
6;Rayuela;Julio Cortazar;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
7;Pedro Paramo;Juan Rulfo;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
8;La Casa de los Espiritus;Isabel Allende;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
9;El Tunel;Ernesto Sabato;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
10;Ficciones;Jorge Luis Borges;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
11;Como Agua para Chocolate;Laura Esquivel;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
12;El Amor en los Tiempos del Colera;Gabriel Garcia Marquez;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
13;La Sombra del Viento;Carlos Ruiz Zafon;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
14;Aura;Carlos Fuentes;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
15;Los Detectives Salvajes;Roberto Bolano;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
16;Cronica de una Muerte Anunciada;Gabriel Garcia Marquez;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
17;Don Quijote de la Mancha;Miguel de Cervantes;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
18;El Principito;Antoine de Saint-Exupery;Seed;18, 128;;NO;NO;;NO;NO;"Fabricado 200x; Duplicado";REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
19;Orgullo y Prejuicio;Jane Austen;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
20;Crimen y Castigo;Fiodor Dostoievski;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
21;Los Miserables;Victor Hugo;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
22;La Odisea;Homero;Seed;22, 144, 157, 170;;NO;NO;;NO;NO;"Fabricado 200x; Duplicado";REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
23;Anna Karenina;Leon Tolstoi;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
24;Hamlet;William Shakespeare;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
25;La Divina Comedia;Dante Alighieri;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
26;Madame Bovary;Gustave Flaubert;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
27;El Conde de Montecristo;Alejandro Dumas;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
28;Las Mil y Una Noches;Anonimo;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
29;1984;George Orwell;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
30;Un Mundo Feliz;Aldous Huxley;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
31;Fahrenheit 451;Ray Bradbury;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
32;Dune;Frank Herbert;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
33;Fundacion;Isaac Asimov;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
34;Cronicas Marcianas;Ray Bradbury;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
35;Neuromante;William Gibson;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
36;El Juego de Ender;Orson Scott Card;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
37;2001: Una Odisea del Espacio;Arthur C. Clarke;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
38;Solaris;Stanislaw Lem;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
